Date,Price,Open,High,Low,Chg%
2012-06-14,1618.4,1621.2,1626.4,1610.1,0.0002
2012-06-15,1627,1624.3,1630,1621.5,0.0053
2012-06-18,1625.7,1622.6,1627.6,1615,-0.0008
2012-06-19,1622.2,1629.8,1630.7,1622,-0.0022
2012-06-20,1614.8,1618.3,1618.3,1598.6,-0.0046
2012-06-21,1564.5,1603.2,1603.3,1565.5,-0.0311
2012-06-22,1566,1565.5,1569.3,1560,0.001
2012-06-25,1587.5,1574.9,1587.3,1571,0.0137
2012-06-26,1574,1583.5,1583.5,1567.7,-0.0085
2012-06-27,1577.5,1567,1571.6,1563,0.0022
2012-06-28,1549.7,1573.7,1573.7,1548.4,-0.0176
2012-06-29,1603.5,1562.6,1600.4,1561.9,0.0347
2012-07-02,1597.2,1597.1,1598.3,1589.7,-0.0039
2012-07-03,1621.3,1603.8,1624,1603.8,0.0151
2012-07-05,1608.9,1618.5,1619.2,1598,-0.0076
2012-07-06,1578.4,1592.3,1593.8,1587,-0.019
2012-07-09,1588.6,1582.1,1582.1,1580.9,0.0065
2012-07-10,1579.3,1599.2,1599.8,1567.6,-0.0059
2012-07-11,1575.2,1577.4,1579.5,1575.3,-0.0026
2012-07-12,1564.9,1569.3,1574.7,1557.2,-0.0065
2012-07-13,1591.6,1567.8,1594.1,1567.8,0.0171
2012-07-16,1591.2,1586.2,1589.7,1585.8,-0.0003
2012-07-17,1589.1,1596,1596,1576.3,-0.0013
2012-07-18,1570.4,1581.2,1583.7,1569.9,-0.0118
2012-07-19,1580.1,1580,1586.9,1578.4,0.0062
2012-07-20,1582.5,1583.9,1584.4,1576.1,0.0015
2012-07-23,1577.1,1571.7,1572,1569.8,-0.0034
2012-07-24,1576,1574,1581.9,1574,-0.0007
2012-07-25,1608,1583.7,1603.9,1583.3,0.0203
2012-07-26,1615,1614.9,1614.9,1614.1,0.0044
2012-07-27,1617.9,1613.4,1613.4,1613.4,0.0018
2012-07-30,1619.7,1622.9,1625.8,1613.1,0.0011
2012-07-31,1610.5,1621.1,1627.5,1610,-0.0057
2012-08-01,1603.7,1613.4,1617.6,1592,-0.0042
2012-08-02,1587.4,1600,1615,1583.1,-0.0102
2012-08-03,1606,1589.3,1605.7,1585.1,0.0117
2012-08-06,1612.9,1604.7,1614.1,1603.2,0.0043
2012-08-07,1609.7,1610.8,1615.7,1609,-0.002
2012-08-08,1612.9,1610.2,1614.8,1603,0.002
2012-08-09,1617.1,1612.8,1617.1,1610.1,0.0026
2012-08-10,1619.7,1615.8,1624.1,1605,0.0016
2012-08-13,1609.6,1622,1623.7,1607.3,-0.0062
2012-08-14,1599.4,1612.8,1615.6,1591.2,-0.0063
2012-08-15,1603.7,1593.8,1604.6,1592,0.0027
2012-08-16,1616.1,1600.2,1615.7,1600.2,0.0077
2012-08-17,1616.3,1617.8,1617.8,1611.4,0.0001
2012-08-20,1620.1,1614,1621.4,1611.6,0.0024
2012-08-21,1639.9,1620,1639,1620,0.0122
2012-08-22,1637.4,1638.4,1653.1,1635,-0.0015
2012-08-23,1669.6,1659.9,1672.7,1658,0.0197
2012-08-24,1669.8,1665.8,1669.6,1662.2,0.0001
2012-08-27,1672.4,1674.9,1675.4,1663.9,0.0016
2012-08-28,1666.5,1659.9,1671,1659.2,-0.0035
2012-08-29,1659.8,1667.2,1667.3,1665.2,-0.004
2012-08-30,1653.5,1655.4,1662,1650.7,-0.0038
2012-08-31,1684.6,1658.6,1690,1646.2,0.0188
2012-09-04,1692.9,1689.1,1698,1687.7,0.0049
2012-09-05,1690.8,1690.4,1693.3,1690.4,-0.0012
2012-09-06,1702.6,1696.4,1712.4,1696.4,0.007
2012-09-07,1737.5,1696.7,1738.2,1696.7,0.0205
2012-09-10,1728.7,1733.1,1733.5,1727.2,-0.0051
2012-09-11,1731.8,1736,1736,1735.8,0.0018
2012-09-12,1730.6,1742.2,1742.3,1730.5,-0.0007
2012-09-13,1769.1,1728.7,1767.5,1728.7,0.0222
2012-09-14,1769.8,1771,1774.5,1766,0.0004
2012-09-17,1767.7,1774.8,1774.8,1753.8,-0.0012
2012-09-18,1768.4,1766.3,1766.4,1766.3,0.0004
2012-09-19,1769,1776,1778.5,1768,0.0003
2012-09-20,1767.7,1769.1,1771.3,1759.7,-0.0007
2012-09-21,1775.5,1785.3,1785.3,1772.3,0.0044
2012-09-24,1762.1,1762.1,1762.1,1762.1,-0.0075
2012-09-25,1763.8,1772.6,1772.7,1772.6,0.001
2012-09-26,1750.6,1762.8,1764.2,1737.6,-0.0075
2012-09-27,1777.6,1752.6,1780.2,1750.7,0.0154
2012-09-28,1771.1,1776.8,1782.2,1767.5,-0.0037
2012-10-01,1780.5,1766,1791,1763.3,0.0053
2012-10-02,1772.7,1777.9,1779.3,1773.1,-0.0044
2012-10-03,1777.3,1772.2,1779.9,1771.9,0.0026
2012-10-04,1794.1,1783.5,1794.8,1783.5,0.0095
2012-10-05,1778.6,1792.2,1792.2,1776.6,-0.0086
2012-10-08,1773.5,1778,1778,1766.8,-0.0029
2012-10-09,1763,1776.7,1776.7,1762.3,-0.0059
2012-10-10,1763.2,1762.4,1764.2,1758.1,0.0001
2012-10-11,1768.8,1761.6,1771,1761.6,0.0032
